Stand_ID, Plot_ID, Tree_ID, SPECIES,   DBH, HT, tpa,   cr, form, risk
0023200806050102903343,1,2,375,7,34,6,0.35,0,0
0023200806050102903343,1,27,375,5.8,0,6,0,0,0
0023200806050102903343,1,31,375,5.7,0,6,0,0,0
0023200806050102903343,1,35,375,7.7,39,6,0.5,0,0
0023200806050102903343,1,53,375,9,48,6,0.35,0,0
0023200806050102903343,1,57,375,6.1,30,6,0.4,0,0
0023200806050102903343,1,58,12,5.3,0,6,0,0,0
0023200806050102903343,1,60,375,10.7,37,6,0.55,0,0
0023200806050102903343,1,62,371,6.4,38,6,0.4,0,0
0023200806050102903343,1,73,315,6.3,33,6,0.55,0,0
0023200806050102903343,1,74,97,1.2,0,75,0.4,0,0
0023200806050102903343,1,75,315,6,35,6,0.5,0,0
0023200806050102903343,1,76,371,5.7,36,6,0.4,0,0
0023200806050102903343,1,77,371,5.3,39,6,0.4,0,0
0023200806050102903343,2,1,371,1.4,0,75,0.4,0,0
0023200806050102903343,2,2,12,2.5,0,75,0.35,0,0
0023200806050102903343,2,5,97,1.8,0,75,0.65,0,0
0023200806050102903343,2,6,319,1.1,0,75,0.2,0,0
0023200806050102903343,2,7,319,1.8,0,75,0.3,0,0
0023200806050102903343,2,8,12,2.7,0,75,0.3,0,0
0023200806050102903343,2,9,371,3.5,0,75,0.45,0,0
0023200806050102903343,2,11,371,3.9,0,75,0.35,0,0
0023200806050102903343,2,12,375,6.9,0,6,0,0,0
0023200806050102903343,2,13,375,7.2,52,6,0.4,0,0
0023200806050102903343,2,14,375,7,49,6,0.35,0,0
0023200806050102903343,2,15,375,6.4,35,6,0.35,0,0
0023200806050102903343,2,16,97,6.6,44,6,0.45,0,0
0023200806050102903343,2,17,375,9.9,0,6,0,0,0
0023200806050102903343,2,18,375,7.1,0,6,0,0,0
0023200806050102903343,2,19,375,11.6,46,6,0.45,0,0
0023200806050102903343,2,20,375,6.7,46,6,0.45,0,0
0023200806050102903343,2,21,241,8.3,33,6,0.65,0,0
0023200806050102903343,2,22,371,5.5,39,6,0.45,0,0
0023200806050102903343,2,23,12,5,32,6,0.3,0,0
0023200806050102903343,3,4,371,8.7,41,6,0.4,0,0
0023200806050102903343,3,5,97,14.4,59,6,0.4,0,0
0023200806050102903343,3,6,12,6.9,0,6,0,0,0
0023200806050102903343,3,7,12,6.8,0,6,0,0,0
0023200806050102903343,3,8,371,9.8,46,6,0.65,0,0
0023200806050102903343,3,9,12,6.2,0,6,0,0,0
0023200806050102903343,3,10,12,6.3,0,6,0,0,0
0023200806050102903343,3,11,12,5.2,0,6,0,0,0
0023200806050102903343,3,12,12,6,0,6,0,0,0
0023200806050102903343,3,14,12,8.4,0,6,0,0,0
0023200806050102903343,3,16,12,6.7,0,6,0,0,0
0023200806050102903343,3,17,12,7.7,0,6,0,0,0
0023200806050102903343,3,18,12,5.4,0,6,0,0,0
0023200806050102903343,4,1,12,8.2,0,6,0,0,0
0023200806050102903343,4,2,375,7.5,38,6,0.3,0,0
0023200806050102903343,4,3,12,9.8,0,6,0,0,0
0023200806050102903343,4,4,371,6.4,36,6,0.35,0,0
0023200806050102903343,4,5,371,8.8,44,6,0.45,0,0
0023200806050102903343,4,6,12,6,0,6,0,0,0
0023200806050102903343,4,7,12,6.9,0,6,0,0,0
0023200806050102903343,4,9,12,7.6,43,6,0.45,0,0
0023200806050102903343,4,10,375,8.9,46,6,0.4,0,0
0023200806050102903343,4,11,12,8.7,0,6,0,0,0
0023200806050102903343,4,12,12,6.1,0,6,0,0,0
0023200806050102903343,4,13,12,6.4,0,6,0,0,0
0023200806050102903343,4,14,375,5.4,39,6,0.3,0,0
0023200806050102903343,2,1000122,12,0.01,0,150,0,0,0
0023200806050102903343,1,1003151,315,0.01,0,225,0,0,0
0023200806050102903343,1,1000121,12,0.01,0,675,0,0,0
0023200806050102903343,1,1000971,97,0.01,0,525,0,0,0
0023200806050102903343,1,1003161,316,0.01,0,75,0,0,0
0023200806050102903343,1,1003191,319,0.01,0,75,0,0,0
0023200806050102903343,1,1007611,761,0.01,0,75,0,0,0
0023200806050102903343,2,1003192,319,0.01,0,75,0,0,0
0023200806050102903343,3,1000123,12,0.01,0,150,0,0,0
0023200806050102903343,3,1003193,319,0.01,0,75,0,0,0
0023200806050102903343,4,1000124,12,0.01,0,450,0,0,0
